nome,id,risco_churn,plano
user_1,0,1,Basic
user_10,1,1,Basic
user_100,2,0,Student
user_1000,3,0,Pro
user_1001,4,1,Student
user_1002,5,0,Basic
user_1003,6,1,Student
user_1004,7,0,Basic
user_1005,8,0,Student
user_1006,9,1,Student
user_1007,10,1,Pro
user_1008,11,0,Student
user_1009,12,0,Basic
user_101,13,0,Student
user_1010,14,0,Student
user_1011,15,0,Basic
user_1012,16,0,Basic
user_1013,17,1,Student
user_1014,18,1,Pro
user_1015,19,0,Student
user_1016,20,0,Student
user_1017,21,0,Pro
user_1018,22,1,Basic
user_1019,23,0,Student
user_102,24,0,Student
user_1020,25,1,Pro
user_1021,26,1,Pro
user_1022,27,1,Basic
user_1023,28,0,Pro
user_1024,29,1,Basic
user_1025,30,0,Student
user_1026,31,0,Pro
user_1027,32,0,Student
user_1028,33,0,Pro
user_1029,34,1,Pro
user_103,35,1,Student
user_1030,36,1,Student
user_1031,37,0,Pro
user_1032,38,0,Student
user_1033,39,0,Student
user_1034,40,0,Basic
user_1035,41,0,Student
user_1036,42,0,Basic
user_1037,43,1,Student
user_1038,44,0,Pro
user_1039,45,1,Student
user_104,46,1,Pro
user_1040,47,1,Pro
user_1041,48,1,Basic
user_1042,49,1,Pro
user_1043,50,0,Student
user_1044,51,0,Pro
user_1045,52,1,Basic
user_1046,53,1,Pro
user_1047,54,1,Pro
user_1048,55,0,Student
user_1049,56,0,Student
user_105,57,0,Student
user_1050,58,0,Pro
user_1051,59,0,Basic
user_1052,60,0,Pro
user_1053,61,0,Basic
user_1054,62,0,Basic
user_1055,63,1,Basic
user_1056,64,1,Pro
user_1057,65,0,Basic
user_1058,66,0,Pro
user_1059,67,0,Basic
user_106,68,0,Student
user_1060,69,0,Basic
user_1061,70,1,Pro
user_1062,71,0,Student
user_1063,72,0,Student
user_1064,73,0,Pro
user_1065,74,1,Pro
user_1066,75,0,Student
user_1067,76,1,Student
user_1068,77,0,Student
user_1069,78,0,Pro
user_107,79,0,Student
user_1070,80,0,Basic
user_1071,81,0,Pro
user_1072,82,0,Student
user_1073,83,0,Basic
user_1074,84,1,Pro
user_1075,85,0,Student
